Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,28,1,4.262323177070539,5.61640534234648,9.922323177070538,100.0
Offloaded Data,1,1,0.7946634333080589,5.719336031519457,6.5946634333080585,100.0
Offloaded Data,2,1,2.653864229354185,5.67640534234648,8.373864229354185,100.0
Offloaded Data,3,1,2.1968752316355116,5.62640534234648,7.866875231635511,100.0
Offloaded Data,4,1,2.527479908629263,5.54640534234648,8.117479908629264,100.0
Offloaded Data,33,1,3.0830892965901073,5.599895568623516,8.773089296590108,100.0
Offloaded Data,34,1,0.8376716664895545,5.227324075918189,6.1276716664895545,100.0
Offloaded Data,7,1,0.7315768503330315,5.812866649110818,6.661576850333031,100.0
Offloaded Data,8,1,1.1313152080730438,5.875053323258673,7.111315208073044,100.0
Offloaded Data,37,1,1.0925507256211555,5.65730007511819,6.822550725621156,100.0
Offloaded Data,38,1,0.6735521032468496,5.855053323258672,6.633552103246849,100.0
Offloaded Data,11,1,3.1276417673066943,5.61640534234648,8.787641767306694,100.0
Offloaded Data,40,1,0.5334941633689957,5.435053323258672,6.073494163368996,100.0
Offloaded Data,41,1,1.3655950689210936,5.55640534234648,6.965595068921093,100.0
Offloaded Data,42,1,0.8405639520634646,5.71732407591819,6.620563952063465,100.0
Offloaded Data,43,1,1.541371223471063,5.239336031519457,6.861371223471063,100.0
Offloaded Data,44,1,0.8201381657740068,5.697324075918189,6.580138165774007,100.0
Offloaded Data,17,1,0.7188591454056481,5.817324075918189,6.598859145405648,100.0
Offloaded Data,46,1,0.3577543716372364,5.362697465534621,5.787754371637236,100.0
Offloaded Data,47,1,0.8348095309163591,5.29730007511819,6.204809530916359,100.0
Offloaded Data,48,1,0.7697553305804513,5.442697465534621,6.279755330580451,100.0
Offloaded Data,21,1,1.0019121156664255,5.82642934314648,6.861912115666426,100.0
Offloaded Data,22,1,3.8850761474277546,5.519895568623517,9.495076147427755,100.0
Offloaded Data,23,1,1.3475909110093476,5.712218719092432,7.197590911009348,100.0
Offloaded Data,24,1,0.7323276279395835,5.279336031519457,6.092327627939584,100.0
Offloaded Data,25,1,0.45779378403454674,5.632890649910818,6.1977937840345465,100.0
Offloaded Data,26,1,1.2991408971513454,5.34642934314648,6.6791408971513455,100.0
