Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,0,1,0.4179528512973135,5.612697465534621,6.097952851297313,100.0
Offloaded Data,49,1,0.8619787692071387,5.472697465534622,6.401978769207139,100.0
Offloaded Data,26,1,0.856355838780494,5.30730007511819,6.236355838780494,100.0
Offloaded Data,3,1,1.9473571367490068,5.607324075918189,7.617357136749007,100.0
Offloaded Data,28,1,0.864283727741046,5.5973240759181895,6.524283727741047,100.0
Offloaded Data,5,1,0.3576123230259827,5.71642934314648,6.1076123230259824,100.0
Offloaded Data,6,1,0.7146150800156673,5.55640534234648,6.314615080015667,100.0
Offloaded Data,7,1,2.402936674122087,5.867324075918189,8.332936674122086,100.0
Offloaded Data,8,1,2.749843386624421,5.872890649910818,8.729843386624422,100.0
Offloaded Data,33,1,0.7357080865179588,5.599895568623516,6.425708086517959,100.0
Offloaded Data,10,1,0.9988559261242882,5.769336031519456,6.848855926124289,100.0
Offloaded Data,35,1,2.6317419770557136,5.625053323258673,8.361741977055713,100.0
Offloaded Data,12,1,0.8404609884200157,5.627324075918189,6.530460988420016,100.0
Offloaded Data,37,1,3.0271001429624365,5.559179835610005,8.757100142962436,100.0
Offloaded Data,38,1,1.0484510912349798,5.91640534234648,7.00845109123498,100.0
Offloaded Data,15,1,0.9102298944339172,5.249895568623517,6.250229894433917,100.0
Offloaded Data,16,1,1.493169699000113,5.185053323258672,6.783169699000113,100.0
Offloaded Data,17,1,2.7034824702512554,5.772890649910818,8.583482470251255,100.0
Offloaded Data,42,1,1.5540468448131333,5.71732407591819,7.334046844813133,100.0
Offloaded Data,19,1,1.1478737814676445,5.83730007511819,7.057873781467645,100.0
Offloaded Data,20,1,1.0876422334263376,5.91730007511819,7.077642233426338,100.0
Offloaded Data,45,1,1.2296253089740956,5.707324075918189,6.999625308974096,100.0
Offloaded Data,46,1,2.326142081162283,5.367324075918189,7.756142081162283,100.0
Offloaded Data,47,1,1.3735607918511596,5.265053323258672,6.74356079185116,100.0
Offloaded Data,24,1,2.0246100524264206,8.932890649910817,11.06461005242642,100.0
Offloaded Data,25,1,0.6254617591486836,9.207300075118189,9.905461759148682,100.0
Offloaded Data,2,1,0.6211405372426498,8.995053323258672,9.721140537242649,100.0
Offloaded Data,27,1,0.6658426258033927,9.510265003321205,10.295842625803392,100.0
Offloaded Data,4,1,1.2282287902821911,9.142890649910818,10.478228790282191,100.0
Offloaded Data,29,1,2.2368262600777267,9.159179835610004,11.566826260077727,100.0
Offloaded Data,30,1,1.111087181480077,8.87852975631256,10.181087181480077,100.0
Offloaded Data,31,1,2.700823094299605,9.599179835610004,12.470823094299604,100.0
Offloaded Data,32,1,2.2775466183727433,9.452218719092432,11.867546618372742,100.0
Offloaded Data,9,1,1.8439947507818226,9.071996229034582,11.093994750781823,100.0
Offloaded Data,34,1,0.7253097139309176,9.059336031519457,9.865309713930918,100.0
Offloaded Data,11,1,2.028087548760428,9.252218719092433,11.418087548760429,100.0
Offloaded Data,36,1,1.4851695682376618,9.231996229034582,10.895169568237662,100.0
Offloaded Data,13,1,0.7991115754804906,9.488529756312559,10.47911157548049,100.0
Offloaded Data,14,1,2.237372112900163,9.111996229034581,11.527372112900164,100.0
Offloaded Data,39,1,1.9502781662101751,8.931996229034581,11.060278166210175,100.0
Offloaded Data,40,1,0.5702756651461424,8.712866649110818,9.400275665146143,100.0
Offloaded Data,41,1,2.2792263909802672,9.309179835610005,11.759226390980267,100.0
