Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,30,1,2.515708378583865,5.407324075918189,7.9857083785838645,100.0
Offloaded Data,21,1,3.168651702162472,5.79732407591819,9.028651702162472,100.0
Offloaded Data,2,1,1.4328132974335026,5.68642934314648,7.152813297433503,100.0
Offloaded Data,3,1,1.3786284819707393,5.63642934314648,7.04862848197074,100.0
Offloaded Data,24,1,1.680312637685267,5.32642934314648,7.040312637685267,100.0
Offloaded Data,15,1,1.4835509748293199,5.2673000751181895,6.8235509748293195,100.0
Offloaded Data,36,1,0.9234632031402358,5.67640534234648,6.643463203140236,100.0
Offloaded Data,7,1,1.6457683597697275,5.867324075918189,7.575768359769727,100.0
Offloaded Data,8,1,2.8549829004402874,5.91732407591819,8.834982900440288,100.0
Offloaded Data,39,1,2.2171582049213137,5.7364293431464795,7.987158204921313,100.0
Offloaded Data,40,1,2.671882605381105,8.93730007511819,11.681882605381105,100.0
Offloaded Data,41,1,2.198968060700672,9.397324075918188,11.658968060700673,100.0
Offloaded Data,32,1,1.012410267272013,9.28640534234648,10.342410267272014,100.0
Offloaded Data,43,1,1.8531177720431322,8.92732407591819,10.843117772043133,100.0
Offloaded Data,4,1,2.381602335637874,8.887324075918189,11.331602335637873,100.0
Offloaded Data,45,1,1.767033820921678,9.03730007511819,10.877033820921678,100.0
Offloaded Data,16,1,1.867799133491061,8.93730007511819,10.877799133491061,100.0
Offloaded Data,17,1,2.9153483496133634,9.74732407591819,12.725348349613364,100.0
Offloaded Data,28,1,2.723339649754011,9.56730007511819,12.363339649754012,100.0
Offloaded Data,29,1,2.204737365943902,9.27730007511819,11.554737365943902,100.0
Offloaded Data,20,1,1.3749640834284533,12.895053323258672,14.374964083428454,100.0
Offloaded Data,1,1,1.7082310942350825,13.18730007511819,14.968231094235081,100.0
Offloaded Data,42,1,3.3204400946417385,13.047324075918189,16.43044009464174,100.0
Offloaded Data,23,1,1.305217715828922,12.76730007511819,14.145217715828922,100.0
Offloaded Data,44,1,2.2457336824914065,12.647324075918188,14.955733682491406,100.0
Offloaded Data,25,1,1.6240036880026623,12.745053323258672,14.474003688002663,100.0
Offloaded Data,46,1,1.0327389640784574,12.359336031519456,13.472738964078458,100.0
Offloaded Data,27,1,2.6775542752287187,13.707324075918189,16.44755427522872,100.0
Offloaded Data,38,1,1.385191821586916,13.52730007511819,14.985191821586916,100.0
Offloaded Data,9,1,1.0853926073744524,12.829336031519457,13.995392607374452,100.0
Offloaded Data,0,1,1.6704285108046,16.572890649910818,18.3504285108046,100.0
Offloaded Data,11,1,2.001156580174107,16.84730007511819,18.921156580174106,100.0
Offloaded Data,12,1,1.2350865374549522,16.695053323258673,18.03508653745495,100.0
Offloaded Data,13,1,0.9114758179351422,16.672866649110816,17.70147581793514,100.0
Offloaded Data,14,1,1.1948057859091803,15.869179835610005,17.23480578590918,100.0
Offloaded Data,35,1,0.7705979084041469,16.47505332325867,17.350597908404147,100.0
Offloaded Data,6,1,1.0408879693728923,15.902218719092431,17.080887969372892,100.0
Offloaded Data,47,1,0.47416448135004857,17.072697465534624,17.61416448135005,100.0
Offloaded Data,48,1,1.757278997247314,17.00505332325867,18.867278997247315,100.0
Offloaded Data,49,1,1.2928596563470207,16.369336031519456,17.74285965634702,100.0
Offloaded Data,34,1,1.1582946835788916,19.15199622903458,20.488294683578893,100.0
Offloaded Data,26,1,0.8624848371043379,19.282218719092434,20.282484837104334,100.0
Offloaded Data,10,1,1.4209646339095021,20.42289064991082,21.950964633909503,100.0
Offloaded Data,31,1,0.8986481321943085,20.655053323258674,21.658648132194312,100.0
Offloaded Data,22,1,1.93416399853412,20.302890649910818,22.34416399853412,100.0
Offloaded Data,33,1,0.9604946361720118,20.301996229034582,21.440494636172012,100.0
Offloaded Data,5,1,0.40473597343433315,20.212866649110815,20.734735973434333,100.0
Offloaded Data,37,1,0.7243165625262322,20.699179835610007,21.594316562526235,100.0
Offloaded Data,18,1,1.8896955920909333,20.842890649910817,22.839695592090933,100.0
Offloaded Data,19,1,0.3993184618019006,20.240265003321205,20.7593184618019,100.0
Offloaded Data,2,2,1.678784404590385,13.65642934314648,15.368784404590384,100.0
Offloaded Data,3,2,1.698191507245485,13.94642934314648,15.678191507245485,100.0
Offloaded Data,24,2,1.6341358488711495,13.20642934314648,14.87413584887115,100.0
Offloaded Data,36,2,1.5111965111779293,13.156405342346478,14.711196511177928,100.0
Offloaded Data,40,2,2.9018529149247314,14.457300075118185,17.431852914924733,100.0
Offloaded Data,21,2,2.277477845853607,14.677324075918188,17.017477845853605,100.0
Offloaded Data,15,2,1.0984411996136176,14.027300075118186,15.198441199613617,100.0
Offloaded Data,7,2,1.755758326858694,14.337324075918188,16.15575832685869,100.0
Offloaded Data,28,2,1.8018035284499063,14.306405342346478,16.151803528449907,100.0
Offloaded Data,39,2,2.016850544955161,14.14642934314648,16.19685054495516,100.0
Offloaded Data,32,2,1.660626226391889,17.61640534234648,19.32062622639189,100.0
Offloaded Data,43,2,1.5730813380907047,17.76732407591819,19.403081338090708,100.0
Offloaded Data,4,2,2.5193664382254255,16.55732407591819,19.139366438225426,100.0
Offloaded Data,45,2,1.6662391708532296,17.627300075118185,19.36623917085323,100.0
Offloaded Data,16,2,2.2076487152072617,16.707300075118187,18.987648715207264,100.0
Offloaded Data,8,2,2.953645169003905,17.857324075918186,20.873645169003908,100.0
Offloaded Data,20,2,1.5250439657689572,18.28505332325867,19.91504396576896,100.0
