Message Name,User ID,Sequence Number,UL Latency,Processing Time,Total Latency,Delay Budget
Offloaded Data,24,1,1.790899174372352,5.32642934314648,7.150899174372352,100.0
Offloaded Data,13,1,1.5897097053397418,5.90640534234648,7.5397097053397415,100.0
Offloaded Data,38,1,2.0663949285715826,5.897324075918189,8.026394928571584,100.0
Offloaded Data,27,1,2.622275977914709,5.91640534234648,8.582275977914708,100.0
Offloaded Data,4,1,1.6690252209256446,5.527324075918189,7.259025220925644,100.0
Offloaded Data,29,1,0.7036223318590924,5.54642934314648,6.2836223318590925,100.0
Offloaded Data,42,1,1.4397523450572502,5.699336031519457,7.219752345057251,100.0
Offloaded Data,7,1,2.00555571859491,5.867324075918189,7.93555571859491,100.0
Offloaded Data,44,1,1.2440354450671105,5.72642934314648,7.00403544506711,100.0
Offloaded Data,9,1,2.8515552186720545,5.516405342346481,8.411555218672055,100.0
Offloaded Data,34,1,0.8466495763166141,5.227324075918189,6.136649576316614,100.0
Offloaded Data,11,1,1.6801072777036223,5.5973240759181895,7.3401072777036225,100.0
Offloaded Data,36,1,0.9513942035065885,9.00730007511819,10.031394203506588,100.0
Offloaded Data,37,1,3.4589659997729947,9.63640534234648,13.138965999772994,100.0
Offloaded Data,2,1,1.773839779255137,9.612697465534621,11.453839779255137,100.0
Offloaded Data,39,1,1.7282106224821738,9.662697465534622,11.458210622482174,100.0
Offloaded Data,16,1,1.474880010842417,8.81732407591819,10.354880010842418,100.0
Offloaded Data,5,1,1.378439809192911,9.25730007511819,10.708439809192912,100.0
Offloaded Data,18,1,1.0156310196251905,9.529895568623516,10.63563101962519,100.0
Offloaded Data,43,1,1.100405671444385,9.169336031519457,10.350405671444385,100.0
Offloaded Data,8,1,0.6671237392699677,9.66730007511819,10.407123739269968,100.0
Offloaded Data,33,1,2.375411130288413,9.20640534234648,11.625411130288413,100.0
Offloaded Data,22,1,1.4116644681525023,8.819336031519457,10.311664468152502,100.0
Offloaded Data,35,1,1.7481483661567057,9.285053323258673,11.138148366156706,100.0
Offloaded Data,48,1,1.4337382414108437,12.51730007511819,14.023738241410843,100.0
Offloaded Data,49,1,1.590369991914927,13.129895568623517,14.810369991914927,100.0
Offloaded Data,14,1,1.400512666488746,12.942697465534621,14.410512666488746,100.0
Offloaded Data,3,1,2.8466536567354996,13.280265003321205,16.2466536567355,100.0
Offloaded Data,28,1,1.600384836055305,12.47732407591819,14.140384836055304,100.0
Offloaded Data,41,1,1.1155506691694321,12.825053323258672,14.045550669169431,100.0
Offloaded Data,30,1,0.5696425278841607,12.982890649910818,13.659642527884161,100.0
Offloaded Data,19,1,0.9315303386794819,13.069895568623517,14.091530338679481,100.0
Offloaded Data,20,1,0.65666414897061,13.65730007511819,14.38666414897061,100.0
Offloaded Data,21,1,0.36228640670511014,13.005053323258672,13.47228640670511,100.0
Offloaded Data,10,1,1.5840121987798503,12.645053323258672,14.33401219877985,100.0
Offloaded Data,47,1,1.422859186875986,12.655053323258672,14.182859186875985,100.0
Offloaded Data,12,1,1.6672165384891706,16.160265003321207,17.947216538489172,100.0
Offloaded Data,1,1,1.0142702895487021,16.91505332325867,18.0342702895487,100.0
Offloaded Data,26,1,2.0010454469385164,16.219179835610007,18.391045446938517,100.0
Offloaded Data,15,1,1.2993982054125877,16.60221871909243,18.039398205412585,100.0
Offloaded Data,40,1,1.683432868756258,16.01269746553462,17.76343286875626,100.0
Offloaded Data,17,1,1.4900183873516726,16.690265003321205,18.30001838735167,100.0
Offloaded Data,6,1,0.5068545009996358,16.511996229034583,17.19685450099964,100.0
Offloaded Data,31,1,2.088485592231853,16.829179835610006,19.08848559223185,100.0
Offloaded Data,32,1,1.392982353256018,17.169179835610006,18.732982353256016,100.0
Offloaded Data,45,1,1.0531410740312446,16.709179835610005,17.933141074031244,100.0
Offloaded Data,46,1,2.227916365321496,16.060265003321206,18.407916365321498,100.0
Offloaded Data,23,1,1.0299626054661768,16.47221871909243,17.639962605466177,100.0
Offloaded Data,0,1,1.2268821651869783,19.822218719092433,21.18688216518698,100.0
Offloaded Data,38,2,1.3656006624185448,9.617324075918187,11.045600662418545,100.0
Offloaded Data,4,2,1.3893445647424967,9.397324075918188,10.849344564742498,100.0
Offloaded Data,34,2,0.5890554574826729,9.897324075918188,10.549055457482673,100.0
Offloaded Data,25,1,1.2125150391664405,20.640265003321208,21.972515039166442,100.0
Offloaded Data,27,2,2.1920824137759363,10.00640534234648,12.242082413775936,100.0
Offloaded Data,29,2,1.0349774467848076,10.69642934314648,11.764977446784808,100.0
Offloaded Data,42,2,1.4775319302955392,10.089336031519453,11.64753193029554,100.0
Offloaded Data,7,2,3.4547049300870483,10.49642934314648,13.984704930087048,100.0
Offloaded Data,44,2,1.7440750155763163,10.65642934314648,12.434075015576315,100.0
Offloaded Data,33,2,2.2088730821458205,10.50640534234648,12.758873082145822,100.0
Offloaded Data,11,2,1.5497956906554735,10.327324075918188,11.939795690655474,100.0
Offloaded Data,24,2,2.30886537266764,13.83642934314648,16.17886537266764,100.0
Offloaded Data,2,2,1.6451597897908157,12.892697465534617,14.605159789790815,100.0
Offloaded Data,39,2,1.4110757210306577,13.802697465534617,15.281075721030657,100.0
Offloaded Data,16,2,1.6414662657634418,12.977324075918187,14.68146626576344,100.0
Offloaded Data,18,2,0.9704101123016642,13.459895568623512,14.520410112301665,100.0
Offloaded Data,22,2,1.618430249919968,13.389336031519454,15.088430249919968,100.0
Offloaded Data,35,2,1.958079011617635,13.795053323258669,15.858079011617635,100.0
